age,mx,qx,lx,dx,ex,total_ex
0,0.003843,0.003836,100000,383.6,82.58,82.58
1,0.000291,0.000291,99616.4,29,81.89,82.89
2,0.000134,0.000134,99587.4,13.4,80.92,82.92
3,0.00012,0.00012,99574.1,11.9,79.93,82.93
4,0.000097,0.000097,99562.1,9.6,78.94,82.94
5,0.000091,0.000091,99552.5,9,77.94,82.94
6,0.000083,0.000083,99543.4,8.2,76.95,82.95
7,0.000069,0.000069,99535.2,6.8,75.96,82.96
8,0.00008,0.00008,99528.4,8,74.96,82.96
9,0.000066,0.000066,99520.4,6.5,73.97,82.97
10,0.000064,0.000064,99513.8,6.4,72.97,82.97
11,0.000073,0.000073,99507.5,7.2,71.98,82.98
12,0.000089,0.000089,99500.2,8.8,70.98,82.98
13,0.000081,0.000081,99491.4,8.1,69.99,82.99
14,0.000109,0.000109,99483.3,10.9,69,83
15,0.000123,0.000123,99472.4,12.2,68,83
16,0.000142,0.000142,99460.2,14.1,67.01,83.01
17,0.000194,0.000194,99446.1,19.3,66.02,83.02
18,0.000189,0.000189,99426.8,18.8,65.03,83.03
19,0.000223,0.000223,99408,22.1,64.05,83.05
20,0.000212,0.000212,99385.9,21.1,63.06,83.06
21,0.000207,0.000207,99364.8,20.6,62.07,83.07
22,0.000207,0.000207,99344.2,20.6,61.09,83.09
23,0.000248,0.000248,99323.6,24.7,60.1,83.1
24,0.000246,0.000246,99298.9,24.4,59.11,83.11
25,0.000261,0.000261,99274.5,25.9,58.13,83.13
26,0.000269,0.000269,99248.6,26.7,57.14,83.14
27,0.000326,0.000326,99221.9,32.3,56.16,83.16
28,0.000342,0.000342,99189.6,33.9,55.18,83.18
29,0.000321,0.000321,99155.7,31.8,54.2,83.2
30,0.00038,0.000379,99123.8,37.6,53.21,83.21
31,0.000406,0.000406,99086.2,40.2,52.23,83.23
32,0.000447,0.000447,99046,44.3,51.25,83.25
33,0.000487,0.000487,99001.7,48.2,50.28,83.28
34,0.000526,0.000526,98953.5,52.1,49.3,83.3
35,0.000587,0.000587,98901.4,58.1,48.33,83.33
36,0.00061,0.00061,98843.4,60.3,47.35,83.35
37,0.000691,0.000691,98783.1,68.2,46.38,83.38
38,0.000766,0.000765,98714.9,75.6,45.41,83.41
39,0.000793,0.000793,98639.3,78.2,44.45,83.45
40,0.000892,0.000891,98561.1,87.8,43.48,83.48
41,0.00101,0.00101,98473.3,99.4,42.52,83.52
42,0.001075,0.001075,98373.8,105.7,41.56,83.56
43,0.001158,0.001157,98268.1,113.7,40.61,83.61
44,0.001275,0.001274,98154.4,125.1,39.66,83.66
45,0.001402,0.001401,98029.3,137.3,38.71,83.71
46,0.00154,0.001539,97892,150.6,37.76,83.76
47,0.001623,0.001621,97741.4,158.5,36.82,83.82
48,0.001785,0.001784,97582.9,174.1,35.88,83.88
49,0.002015,0.002013,97408.8,196.1,34.94,83.94
50,0.002179,0.002177,97212.8,211.6,34.01,84.01
51,0.002471,0.002468,97001.2,239.4,33.08,84.08
52,0.002718,0.002714,96761.7,262.6,32.16,84.16
53,0.002934,0.002929,96499.1,282.7,31.25,84.25
54,0.003209,0.003204,96216.4,308.3,30.34,84.34
55,0.003445,0.003439,95908.2,329.8,29.43,84.43
56,0.003818,0.00381,95578.3,364.2,28.53,84.53
57,0.004174,0.004165,95214.1,396.6,27.64,84.64
58,0.004506,0.004495,94817.5,426.2,26.75,84.75
59,0.005044,0.005031,94391.3,474.9,25.87,84.87
60,0.005462,0.005448,93916.4,511.6,25,85
61,0.005942,0.005925,93404.8,553.4,24.14,85.14
62,0.006385,0.006365,92851.4,591,23.28,85.28
63,0.006824,0.0068,92260.4,627.4,22.42,85.42
64,0.007493,0.007465,91633,684.1,21.57,85.57
65,0.008168,0.008134,90948.9,739.8,20.73,85.73
66,0.009244,0.009202,90209.1,830.1,19.9,85.9
67,0.010133,0.010082,89379,901.1,19.08,86.08
68,0.010966,0.010906,88477.9,965,18.27,86.27
69,0.012359,0.012284,87513,1075,17.46,86.46
70,0.014001,0.013904,86438,1201.8,16.67,86.67
71,0.015083,0.01497,85236.2,1276,15.9,86.9
72,0.017047,0.016903,83960.2,1419.2,15.14,87.14
73,0.018509,0.018339,82541,1513.7,14.39,87.39
74,0.020798,0.020584,81027.3,1667.9,13.65,87.65
75,0.023058,0.022796,79359.4,1809,12.92,87.92
76,0.026067,0.025731,77550.4,1995.5,12.21,88.21
77,0.029442,0.029015,75554.9,2192.2,11.52,88.52
78,0.03328,0.032735,73362.7,2401.6,10.85,88.85
79,0.037487,0.036798,70961.1,2611.2,10.2,89.2
80,0.0425,0.041615,68349.9,2844.4,9.57,89.57
81,0.048186,0.047053,65505.5,3082.2,8.97,89.97
82,0.054544,0.053096,62423.3,3314.4,8.38,90.38
83,0.062692,0.060787,59108.9,3593,7.83,90.83
84,0.070925,0.068496,55515.8,3802.6,7.3,91.3
85,0.079637,0.076587,51713.2,3960.6,6.8,91.8
86,0.090476,0.08656,47752.6,4133.5,6.32,92.32
87,0.100762,0.095929,43619.2,4184.3,5.87,92.87
88,0.114364,0.108178,39434.8,4266,5.44,93.44
89,0.129534,0.121655,35168.8,4278.5,5.04,94.04
90,0.149636,0.13922,30890.4,4300.6,4.67,94.67
91,0.162936,0.150662,26589.8,4006.1,4.35,95.35
92,0.182461,0.167207,22583.7,3776.2,4.03,96.03
93,0.196833,0.179197,18807.6,3370.3,3.74,96.74
94,0.225707,0.202818,15437.3,3131,3.45,97.45
95,0.25225,0.223999,12306.3,2756.6,3.2,98.2
96,0.279851,0.245499,9549.7,2344.5,2.98,98.98
97,0.302914,0.26307,7205.3,1895.5,2.78,99.78
98,0.32932,0.282761,5309.8,1501.4,2.6,100.6
99,0.360684,0.305576,3808.4,1163.8,2.42,101.42
100,0.388373,0.325219,2644.6,860.1,2.27,102.27
